id, L med, L ref, L std, L mean-med, L max, C med, C ref, C std, C mean-med, C max, H med, H ref, H std, H mean-med, H max
"3371", 68, 58, 24, 6, 1233, 11, 53, 6, 1, 4400, 41, 24, 38, 2, 4593
"3685", 111, 114, 29, 3, 640, 100, 133, 19, -1, 1059, 354, 26, 3, 0, 6815
"3818", 113, 97, 46, 9, 446, 61, 61, 24, 2, 766, 150, 156, 9, -1, 3669
"413", 96, 107, 51, 9, 472, 17, 53, 6, 1, 2879, 276, 253, 19, -2, 4009
"666", 159, 197, 25, 1, 800, 194, 241, 24, -2, 691, 28, 29, 1, 0, 20576
"740", 233, 212, 16, -1, 1225, 188, 219, 18, -3, 1305, 46, 28, 6, 1, 2598
"780", 142, 154, 39, 1, 427, 90, 141, 21, -1, 774, 64, 35, 5, -1, 3350
"820", 68, 48, 21, 4, 1149, 77, 30, 30, 3, 899, 282, 141, 5, 0, 5512
"907", 251, 223, 49, -5, 367, 149, 138, 23, -5, 1191, 121, 119, 2, 0, 9093
"B5200", 304, 330, 13, 0, 1199, 7, 11, 2, 0, 12453, 275, 101, 52, 2, 9600
